id,Label,total_relevance,pageviews
1086,Rus' people,40,36666
1183,World War I,153,680662
1184,Great War,153,1473
1185,RussiaâSerbia relations,149,7947
1186,Tsardom of Moscow,134,53450
1187,Nicholas I of Russia,133,76145
1188,Visa policy of Russia,123,7364
1189,Great Northern War,108,42628
1190,Russian literature,108,13397
1191,2011â2013 Russian protests,107,4094
1192,Russian financial crisis (2014â2016),106,8277
1193,BelarusâRussia relations,77,8629
1194,Anarchism in Russia,64,3691
1195,Intermediate-Range Nuclear Forces Treaty,61,14744
1196,United Aircraft Corporation,58,15825
1197,Belarusian language,56,32066
1198,Communist Party of the Russian Federation,54,40790
1200,Kyrgyzstan,53,206105
1201,FC Zenit Saint Petersburg,50,31795
1202,Russian passport,49,8841
1203,Russian Far East,48,32433
1204,Russian oligarch,47,38198
1205,Europe,45,454789
1206,RIA Novosti,42,7036
1323,Catherine the Great,198,712509
1324,Russians,163,60802
1325,Great Russians,163,522
1326,Dmitry Medvedev,143,129527
1327,Leningrad,132,184532
1328,Russian Orthodox Church Outside Russia,107,3181
1329,Partitions of Poland,103,26285
1330,Moscow theater hostage crisis,101,33391
1331,Peter I of Russia,92,158134
1332,Adyghe people,68,65037
1333,Bar Confederation,67,2950
1334,Treaty on Conventional Armed Forces in Europe,60,5097
1335,October Revolution,55,63777
1336,Terrorism in Russia,55,4789
1337,Turkmenistan,48,213393
1338,Treaty of the Pruth,46,892
1339,World War II casualties of the Soviet Union,43,21349
1511,Russian military intervention in Syria,392,1181
1512,Russian art,323,3276
1513,Imperial Russia,246,183493
1514,East Prussia,171,26410
1515,Russian Navy,153,69866
1516,White Ã©migrÃ©,126,15245
1517,Russian Revolution,105,107477
1518,South Ossetia,104,68253
1519,Chechnya,104,160189
1520,Old Believers,94,23261
1521,Garry Kasparov,88,80497
1522,Russian jokes,85,9960
1523,Allied intervention in the Russian Civil War,84,20374
1524,Internet censorship in Russia,80,4331
1525,Rosneft,75,13149
1526,January Uprising,74,11069
1527,Russo-Turkish War (1768â1774),72,13439
1528,Socialist movement,69,910
1529,Estonia,63,218427
1530,Bandy,61,28820
1531,Serfdom in Russia,59,22783
1532,Sochi,59,31663
1533,Bank of Russia,58,713
1534,Russian Central Bank,58,107
1535,Battle of Poltava (1708),55,18026
1536,PFC CSKA Moscow,54,22895
1537,Tadeusz KoÅciuszko,51,16610
1538,Russian Academy of Science,45,7941
1539,Ashgabat,43,39254
1540,National delimitation in the Soviet Union,42,4577
1541,Red Army,41,64099
1542,Uzbekistan,41,213341
1543,Carl XII,40,30600
1544,Opposition to Vladimir Putin in Russia,40,5303
1765,French invasion of Russia,206,52707
1766,Moscow,161,182975
1767,Politics of Russia,151,20695
1768,Russian economy,142,73389
1769,Russian Armed Forces,122,155614
1770,International Space Station,114,140473
1771,Caucasus Greeks,98,3405
1772,2010 Polish Air Force Tu-154 crash,97,3230
1773,Rock music in Russia,91,4050
1774,Rus (name),90,2208
1775,Pussy Riot,89,32059
1776,Ivan Bunin,89,5416
1777,Domestic policy of Vladimir Putin,82,1075
1778,Russian diaspora,79,8893
1779,Russian conservatism,76,9
1780,Flag of Russia,75,43780
1781,Alexander II of Russia,74,98970
1782,Vladivostok,74,60167
1783,2018 Russian presidential election,70,20521
1784,Nikolay Nekrasov,67,2063
1785,Soviet Communists,66,64808
1786,Communist Party of Soviet Union,66,286
1787,Defense industry of Russia,64,4699
1788,Russian national basketball team,62,284
1789,Boris Pasternak,60,25808
1790,White movement,58,32230
1791,Konstantin Balmont,54,1141
1792,Second Northern War,51,7466
1793,Russian ballet,51,5264
1794,Dushanbe,50,23385
1795,Latvia,48,166634
1796,Coat of arms of Russia,47,13291
1797,Mikhail Kutuzov,47,12202
1798,Trans-Siberian Railway,47,48642
1799,Russian famine of 1921?1922,46,73369
1800,Anti-Communist,46,621
1801,Anti-communism,46,28899
1802,Gennady Zyuganov,46,12841
1803,Russian famine of 1921â1922,46,78921
1804,Russian Federal Space Agency,45,23594
1805,History of Central Asia,43,7288
1806,Kalmykia,43,24106
1807,Sakha,41,55399
1808,Armenia,41,214475
1809,Sakha Republic,41,11746
1810,Norilsk,41,31189
1811,Russian Provisional Government,41,28597
1812,Russian cultural property law,41,318
1813,Brusilov Offensive,41,4123
1814,Russian architecture,40,6937
1815,All-Russian Congress of Soviets,40,2985
1816,Imperialism,40,48743
1817,Dacha,40,20768
2269,Doping in Russia,329,11193
2270,Crimean War,313,145825
2271,Borussia MÃ¶nchengladbach,203,43226
2272,Circassian genocide,168,21749
2273,First Chechen War,167,53022
2274,Iran-Russia relations,166,5069
2275,Abkhazia,166,87015
2276,Nicholas II of Russia,165,272359
2277,IndiaâRussia relations,144,21913
2278,India?Russia relations,144,21913
2279,PolishâMuscovite War (1605â1618),137,6621
2280,Imperial Russian Army,126,13555
2281,First Russian circumnavigation,118,1445
2282,War in Abkhazia (1992â1993),117,7228
2283,Mikhail Khodorkovsky,100,19963
2284,Revolution of 1905,97,6682
2285,Yekaterinburg,96,46270
2286,Alexander Litvinenko,95,33164
2287,LGBT rights in the Soviet Union,95,182
2288,KoÅciuszko Uprising,93,5385
2289,Kosciuszko Uprising,93,37
2290,Battle of Grozny (1994?95),93,6800
2291,Kaliningrad Oblast,92,76651
2292,Kalmyk people,91,19646
2293,German Empire,88,156972
2294,Islam in Russia,87,24104
2295,Nikolai Leskov,87,2937
2296,United Russia,83,56585
2297,Dvoryanstvo,80,13493
2298,Sergei Witte,77,8892
2299,Pyotr Ilyich Tchaikovsky,77,85658
2300,Austria-Hungary,75,153646
2301,1993 Russian constitutional crisis,74,22488
2302,Tajikistan,73,145104
2303,First Partition of Poland,73,7373
2304,Elizabeth of Russia,73,85963
2305,"Fort Ross, California",70,11672
2306,2011 Russian legislative election,70,4369
2307,Personality and reputation of Paul I of Russia,68,2161
2308,Fyodor Dostoyevsky,68,16916
2309,November Uprising,67,9136
2310,Antisemitism in the Russian Empire,65,3288
2311,Aleksey Konstantinovich Tolstoy,65,1905
2312,Russian Railways,63,9812
2313,Kazan,62,40021
2314,Republic of Tatarstan,61,49122
2315,Sergei Rachmaninoff,61,54222
2316,Partition Sejm,59,579
2317,Nihilist movement,58,1161
2318,Putinism,55,8371
2319,Grigory Potemkin,55,31810
2320,Masuria,54,3977
2321,Siberia,54,114488
2322,Mikhail Vrubel,54,4815
2323,Russian government response to the COVID-19 pandemic,54,1633
2324,Russia-1,49,4853
2325,Sakhalin,49,41844
2326,Vladimir Nabokov,49,60356
2327,Bashkortostan,48,25916
2328,ElblÄg,48,4234
2329,Chechen Republic of Ichkeria,47,31325
2330,Marc Chagall,46,29450
2331,Primorsky Krai,45,18099
2332,Alexander Prokhanov,45,1091
2333,Rossiya Bank,45,2138
2334,2008 Russian presidential election,43,8553
2335,Mikhail Kasyanov,42,5022
2336,Novichok agent,42,50037
2337,Georgi Plekhanov,42,5148
2338,Cinema of Russia,42,4194
2339,Sayfo,41,8122
2340,Latvian Soviet Socialist Republic,41,7619
2341,Igor Stravinsky,40,37586
2342,Azerbaijan,40,217427
2343,Volga River,40,41996
3289,Russo-Japanese War,291,83007
3290,Seven Years' War,265,104401
3291,Prussia,253,129146
3292,Great Game,236,19941
3293,Second Chechen War,228,93761
3294,Kingdom of Prussia,226,110144
3295,Franco-Prussian War,171,82643
3296,1877â1878 Russo-Turkish War,156,35954
3297,Russo-Turkish War (1877-1878),156,639
3298,Imperial Russian Navy,154,7321
3299,Greater Poland Uprising (1848),141,607
3300,Beslan school hostage crisis,134,6173
3301,Napoleonic Wars,133,113368
3302,Russo-Persian Wars,123,5490
3303,Russian Enlightenment,122,3594
3304,Dmitry Merezhkovsky,118,1892
3305,Russian conquest of Central Asia,117,8148
3306,Prussian Reform Movement,111,1456
3307,Livonian War,102,9449
3308,Finnish War,101,11400
3309,KÃ¶nigsberg,101,43350
3310,Grand Duchy of Finland,101,17724
3311,Russian nationality law,99,5069
3312,Kursk submarine disaster,95,58720
3313,Russian entry into World War I,91,11553
3314,Christianity in Russia,89,6200
3315,Russian apartment bombings,89,41865
3316,Treaty of Kuchuk-Kainarji,88,4081
3317,Automotive industry in Russia,88,8317
3318,Romanov dynasty,87,111807
3319,Old Prussians,87,13978
3320,Russian philosophy,87,1854
3321,Battle of Leipzig,86,27794
3322,Alexander I of Russia,85,83994
3323,War of the Sixth Coalition,83,17984
3324,Russian America,83,27557
3325,Alexander Zinoviev,83,1814
3326,Sergei Pugachev,83,13831
3327,Napoleon I of France,82,438905
3328,2007 Russian legislative election,82,3240
3329,Thirteen Years' War (1454â66),79,1199
3330,War and Peace,79,85654
3331,President of the Russian Federation,78,2064
3332,Russian President,78,71364
3333,Duchy of Prussia,77,11838
3334,Empire of JapanâRussian Empire relations,77,1280
3335,StanisÅaw August Poniatowski,73,13022
3336,Russo-Persian War (1804â13),72,993
3337,Russian invasion of Manchuria,70,4187
3338,Schlieffen Plan,70,19378
3339,Ringing Cedars' Anastasianism,70,4347
3340,Sputnik V COVID-19 vaccine,69,45392
3341,German Confederation,69,46072
3342,Russian-American Company,69,5112
3343,Yaroslavl,69,9421
3344,Qajar Iran,68,22017
3345,Paul I of Russia,68,117304
3346,Aleksandr Ostrovsky,67,325
3347,Occupation of the Baltic states,66,12887
3348,2014 Winter Olympics,66,46640
3349,Frederick Augustus I of Saxony,66,5603
3350,Ivan IV,66,135885
3351,Yukos,66,4077
3352,Rimsky-Korsakov,64,519
3353,History of Siberia,62,5879
3354,Teutonic Knights,60,11574
3355,Art Nouveau,60,67652
3356,Edward Snowden,60,217714
3357,Russian gay propaganda law,60,7384
3358,Time of Troubles,59,22302
3359,COVID-19 pandemic in Russia,59,23777
3360,House of Hohenzollern,58,47272
3361,Alexander Herzen,58,5032
3362,Congress of Berlin,58,9628
3363,Alexander Kolchak,58,16155
3364,"Constitution of May 3, 1791",57,4483
3365,Allied and Associated Powers,57,69496
3366,Congress Poland,57,22521
3367,Alexander III of Russia,56,93207
3368,Mikhail Saltykov-Shchedrin,56,2259
3369,Mongols,56,49062
3370,Battle of Narva (1700),55,6004
3371,Treaty of Gulistan,54,3328
3372,Boxer Rebellion,53,89237
3373,Finland,53,275990
3374,Wilhelm II,53,11109
3375,Treaty of Georgievsk,53,1102
3376,Ludwig Wittgenstein,52,71145
3377,Russo-Kazan wars,52,80
3378,Lev Russov,52,367
3379,Prime Minister of Russia,52,19758
3380,Mikhail Bakunin,50,23461
3381,Tsarist autocracy,49,8488
3382,Winter Palace,49,48650
3383,Russo-Turkish War (1806?1812),49,3933
3384,Russo-Turkish War (1806â12),49,608
3385,Manchukuo,49,50155
3386,February Revolution,48,39719
3387,Leninism,48,27428
3388,Wilt Chamberlain,48,215956
3389,Russian constitution,48,7133
3390,Federal subjects of Russia,48,48877
3391,Caucasian War,47,7249
3392,Princess Victoria Melita of Saxe-Coburg and Gotha,47,13069
3393,Anna of Russia,47,34224
3394,Russian River (California),46,4304
3395,Duchy of Warsaw,46,13257
3396,Russian Revival,46,589
3397,Grand Duchy of Posen,46,3397
3398,Russian Dalian,46,1879
3399,Maxim Litvinov,46,6717
3400,Russia Day,46,2407
3401,First Afghan War,46,363
3402,Languages of Russia,45,15077
3403,Apollon Maykov,45,586
3404,Union State,45,53079
3405,Peter III of Russia,44,225091
3406,Arctic window,44,30
3407,Health care in Russia,44,6811
3408,Red Square,44,28571
3409,Treaties of Tilsit,43,5660
3410,Treaty of Tilsit,43,830
3411,Federal Agency for Tourism (Russia),43,548
3412,Education in Russia,43,9763
3413,Great Northern War plague outbreak,43,1975
3414,Anna Karenina,43,96591
3415,Russian conquest of Siberia,43,12861
3416,Lermontov,42,463
3417,Grande ArmÃ©e,42,17287
3418,Mikhail Lermontov,42,9172
3419,Baltic Germans,42,14543
3420,Second Partition of Poland,42,4263
3421,Karl Marx,42,248220
3422,Narodniks,41,6672
3423,Russo-Persian War (1722â1723),41,2298
3424,Aleksandr Kuprin,41,1736
3425,Narodnik,41,883
3426,Elections in Russia,40,7829
3427,Neo-Byzantine architecture in the Russian Empire,40,1155
3428,Triple Entente,40,29919
3429,Maria Theresa,40,70695
3430,Russian tea culture,40,5756
3431,Alexander Pushkin,40,50616
3432,Nivkhs,40,445
3433,Leo Tolstoy,40,135849
