Label,total_relevance,20180401-20180501,20180501-20180601,20190901-20191001,20191001-20191101,20220101-20220201,20220201-20220301,id
Russian President,78,47489,49204,43387,51381,71364,576974,Russian President
Bandura,77,3144,3535,2877,2959,3229,4997,Bandura
Treaty of Brest-Litovsk,77,32331,30042,20943,22817,30395,48910,Treaty of Brest-Litovsk
MarxismâLeninism,77,43071,42882,47032,55522,60975,74981,MarxismâLeninism
BelarusâRussia relations,77,2231,2071,2198,8438,8629,64533,BelarusâRussia relations
Sergei Witte,77,6905,7032,7272,9683,8892,10848,Sergei Witte
Pyotr Ilyich Tchaikovsky,77,78828,76585,64755,71907,85658,94138,Pyotr Ilyich Tchaikovsky
Duchy of Prussia,77,8635,8746,7917,8001,11838,13054,Duchy of Prussia
Empire of JapanâRussian Empire relations,77,1056,927,902,850,1280,2037,Empire of JapanâRussian Empire relations
Novorossiya (confederation),76,8413,9301,7904,7812,26446,103532,Novorossiya (confederation)
Kirill of Moscow,76,7233,6291,5413,6296,10680,31369,Kirill of Moscow
Russian ruble,76,33088,32212,30756,32375,41440,172956,Russian ruble
Russian conservatism,76,0,0,0,0,9,27,Russian conservatism
Treaty of Warsaw (1920),75,884,838,840,749,1401,2920,Treaty of Warsaw (1920)
Ukrainian alphabet,75,8831,8140,10317,10557,11677,45494,Ukrainian alphabet
Annexation of the Metropolitanate of Kyiv by the Moscow Patriarchate,75,0,0,0,0,972,3030,Annexation of the Metropolitanate of Kyiv by the Moscow Patriarchate
1954 transfer of Crimea,75,4023,4130,3579,4203,14749,49889,1954 transfer of Crimea
Rosneft,75,11645,13021,13283,15690,13149,47553,Rosneft
Flag of Russia,75,41262,44684,38885,39176,43780,88766,Flag of Russia
Austria-Hungary,75,130758,126558,110576,124254,153646,178367,Austria-Hungary
January Uprising,74,6948,7464,7233,7702,11069,11989,January Uprising
Alexander II of Russia,74,57104,60073,62349,102643,98970,118796,Alexander II of Russia
Vladivostok,74,48812,44990,61652,54528,60167,84636,Vladivostok
1993 Russian constitutional crisis,74,10887,11549,12618,18297,22488,39484,1993 Russian constitutional crisis
Austrian Poland,73,12923,12514,12085,13440,19020,30349,Austrian Poland
JÃ³zef PiÅsudski,73,15834,17852,19480,17815,20858,23992,JÃ³zef PiÅsudski
Tajikistan,73,86223,81888,93415,102741,145104,124579,Tajikistan
First Partition of Poland,73,4482,5178,4621,5444,7373,10833,First Partition of Poland
Elizabeth of Russia,73,27628,29246,28868,65893,85963,77600,Elizabeth of Russia
StanisÅaw August Poniatowski,73,11399,13237,11849,16828,13022,13045,StanisÅaw August Poniatowski
Crimean Tatars,72,16877,23419,14089,15622,39323,119971,Crimean Tatars
Soviet coup attempt of 1991,72,31607,32962,23469,26140,47830,94197,Soviet coup attempt of 1991
Russo-Turkish War (1768â1774),72,7044,8166,5986,12263,13439,17494,Russo-Turkish War (1768â1774)
Russo-Persian War (1804â13),72,3123,3579,3132,2747,993,1193,Russo-Persian War (1804â13)
"Declaration of Ukrainian Independence, 1941",71,638,704,600,580,386,983,"Declaration of Ukrainian Independence, 1941"
National University of Kyiv-Mohyla Academy,71,1963,1847,1795,1994,1887,3504,National University of Kyiv-Mohyla Academy
2017 Petya cyberattack,71,1016,906,1473,1482,1132,2798,2017 Petya cyberattack
Sputnik (news agency),71,15681,10878,13301,16158,22223,43121,Sputnik (news agency)
2018 FIFA World Cup,71,876753,2116141,246157,245235,253367,252461,2018 FIFA World Cup
Collectivization in the Ukrainian Soviet Socialist Republic,70,724,722,593,588,1120,2168,Collectivization in the Ukrainian Soviet Socialist Republic
Ukrainophone,70,298,264,196,208,145,287,Ukrainophone
Ilya Repin,70,12834,17383,11452,12223,17993,20547,Ilya Repin
2018 Russian presidential election,70,332,220,19759,17573,20521,100282,2018 Russian presidential election
"Fort Ross, California",70,7239,9194,7854,8060,11672,12173,"Fort Ross, California"
2011 Russian legislative election,70,0,0,2972,2779,4369,9334,2011 Russian legislative election
Russian invasion of Manchuria,70,1947,2083,2410,2413,4187,6428,Russian invasion of Manchuria
Schlieffen Plan,70,34029,33299,18484,21003,19378,23351,Schlieffen Plan
Ringing Cedars' Anastasianism,70,1749,1984,2625,2769,4347,3153,Ringing Cedars' Anastasianism
Mykhailo Hrushevsky,69,1616,1666,1652,1858,3274,7790,Mykhailo Hrushevsky
Denial of the Holodomor,69,3802,4351,4300,5254,4916,11094,Denial of the Holodomor
Opposition Platform â For Life,69,0,0,6250,4420,19065,70175,Opposition Platform â For Life
Doukhobors,69,6258,14336,5045,5293,7605,10066,Doukhobors
Leon Trotsky,69,131066,133523,124558,129119,134671,158029,Leon Trotsky
Socialist movement,69,211,127,1274,319,910,1065,Socialist movement
Sputnik V COVID-19 vaccine,69,0,0,0,0,45392,33036,Sputnik V COVID-19 vaccine
German Confederation,69,34951,33737,29775,32825,46072,44962,German Confederation
Russian-American Company,69,3458,4402,3513,4169,5112,5216,Russian-American Company
Yaroslavl,69,8595,8488,9757,8511,9421,11149,Yaroslavl
Ukrainian Orthodox Church â Kyiv Patriarchate,68,2686,2253,650,613,4205,15661,Ukrainian Orthodox Church â Kyiv Patriarchate
Ems Ukaz,68,539,678,528,529,1157,3271,Ems Ukaz
Roman Abramovich,68,89222,216044,64843,72033,105121,699605,Roman Abramovich
Katyn massacre,68,64709,50397,47889,40084,49439,86468,Katyn massacre
Adyghe people,68,48011,56869,57170,50089,65037,68070,Adyghe people
Personality and reputation of Paul I of Russia,68,0,0,0,0,2161,1844,Personality and reputation of Paul I of Russia
Fyodor Dostoyevsky,68,19180,18101,15521,14335,16916,15890,Fyodor Dostoyevsky
Qajar Iran,68,858,839,6302,8452,22017,22149,Qajar Iran
Paul I of Russia,68,34211,36783,42870,249285,117304,98775,Paul I of Russia
FC Dynamo Kyiv,67,21511,34323,26601,20995,21504,61468,FC Dynamo Kyiv
2015 Ukrainian presidential election,67,625,449,4525,4168,16258,111922,2015 Ukrainian presidential election
Sloboda Ukraine,67,2441,2256,2149,2632,4684,12604,Sloboda Ukraine
Alexander Lukashenko,67,26237,28896,25942,27167,90370,891492,Alexander Lukashenko
Aleksandr Lukashenko,67,124,136,139,270,96,168,Aleksandr Lukashenko
Bar Confederation,67,2196,2595,2014,2344,2950,4088,Bar Confederation
Nikolay Nekrasov,67,1992,1945,1752,1922,2063,2091,Nikolay Nekrasov
November Uprising,67,7238,7328,6623,7402,9136,9878,November Uprising
Aleksandr Ostrovsky,67,219,182,160,185,325,497,Aleksandr Ostrovsky
Ministry of Defense of Ukraine,66,59,49,56,58,163,174,Ministry of Defense of Ukraine
Treaty of Brest-Litovsk (UkraineâCentral Powers),66,1327,1302,924,1033,1901,3905,Treaty of Brest-Litovsk (UkraineâCentral Powers)
Budjak,66,2874,3057,2553,2636,5934,13200,Budjak
Eastern Front (World War II),66,68117,65770,53786,55778,77103,106686,Eastern Front (World War II)
Russian Airborne Troops,66,14920,14085,8705,7352,6588,13074,Russian Airborne Troops
Soviet Communists,66,43008,38505,36147,41861,64808,132639,Soviet Communists
Communist Party of Soviet Union,66,988,863,172,224,286,1397,Communist Party of Soviet Union
Occupation of the Baltic states,66,10602,9581,9646,8512,12887,23086,Occupation of the Baltic states
2014 Winter Olympics,66,28603,23222,21593,24222,46640,256106,2014 Winter Olympics
Frederick Augustus I of Saxony,66,3523,3989,3454,3975,5603,5391,Frederick Augustus I of Saxony
Ivan IV,66,76505,108273,70797,89713,135885,170192,Ivan IV
Yukos,66,4871,3938,4787,4064,4077,11673,Yukos
Dnipropetrovsk Oblast,65,4021,4833,4375,4542,8878,34768,Dnipropetrovsk Oblast
2004 Ukrainian presidential election,65,262,119,2467,2364,8208,44584,2004 Ukrainian presidential election
Pereyaslav Council,65,1608,1491,1158,1329,4177,14407,Pereyaslav Council
Deluge (history),65,8821,8903,7916,8168,10336,16956,Deluge (history)
Antisemitism in the Russian Empire,65,3026,2046,2780,2645,3288,4280,Antisemitism in the Russian Empire
Aleksey Konstantinovich Tolstoy,65,1563,1670,1693,1788,1905,1970,Aleksey Konstantinovich Tolstoy
Act Zluky,64,628,600,617,702,4964,21012,Act Zluky
Serhiy Tihipko,64,815,1027,1042,917,1020,2668,Serhiy Tihipko
Filaret (Denysenko),64,1089,1031,1587,2018,2557,5225,Filaret (Denysenko)
Ivan Mazepa,64,3426,3654,3160,3332,5038,10356,Ivan Mazepa
Lithuania,64,181670,171951,167600,158985,240017,406477,Lithuania
New Cold War,64,78,47,47,64,77,162,New Cold War
Anarchism in Russia,64,2421,2098,2488,2647,3691,3962,Anarchism in Russia
Defense industry of Russia,64,4639,3769,3643,4981,4699,11696,Defense industry of Russia
Rimsky-Korsakov,64,481,561,577,595,519,447,Rimsky-Korsakov
Our UkraineâPeople's Self-Defense Bloc,63,1055,1001,980,836,1974,7411,Our UkraineâPeople's Self-Defense Bloc
Political parties in Ukraine,63,1640,1516,1949,1738,5734,28416,Political parties in Ukraine
FC Shakhtar Donetsk,63,32789,53435,63772,42568,43310,148352,FC Shakhtar Donetsk
Shakhtar Donetsk,63,1597,2258,2383,1530,1990,5520,Shakhtar Donetsk
Ternopil,63,4966,5042,4584,4868,6936,21483,Ternopil
National Guard of Ukraine,63,2864,3349,3281,4322,13464,85644,National Guard of Ukraine
"Treaty of Rapallo, 1922",63,835,836,633,622,664,646,"Treaty of Rapallo, 1922"
Soviet Central Asia,63,2999,2941,2570,3288,5154,5118,Soviet Central Asia
Estonia,63,175033,179034,163349,161240,218427,383489,Estonia
Russian Railways,63,8357,8809,7749,10760,9812,11621,Russian Railways
Volodymyr Semynozhenko,62,103,124,215,226,147,258,Volodymyr Semynozhenko
Vitali Klitschko,62,85425,65409,50762,47789,87070,753104,Vitali Klitschko
Battle of Konotop,62,501,433,454,505,617,3134,Battle of Konotop
Tupolev Tu-160,62,40317,35861,31066,56584,59025,92554,Tupolev Tu-160
Putinisms,62,5877,5695,5214,6092,10766,74403,Putinisms
Joseph Conrad,62,42463,42407,39945,43667,57776,53166,Joseph Conrad
Slavic mythology,62,28526,31855,24822,26132,37832,40469,Slavic mythology
Russian national basketball team,62,316,310,310,286,284,302,Russian national basketball team
Kazan,62,33723,36773,31082,32122,40021,87670,Kazan
History of Siberia,62,4568,4426,4030,4488,5879,6279,History of Siberia
Subdivisions of Ukraine,61,5533,5706,4673,5495,12567,60336,Subdivisions of Ukraine
Kuchma,61,6061,4766,6992,6113,15691,102922,Kuchma
Chernobyl disaster,61,358744,304542,937847,777742,473028,1227419,Chernobyl disaster
Polish population transfers (1944?1946),61,1755,1835,2277,1959,2493,3759,Polish population transfers (1944?1946)
Polish population transfers (1944â1946),61,1755,1835,2277,1959,2493,3759,Polish population transfers (1944â1946)
Operation Bagration,61,21260,21199,21653,21877,33533,35082,Operation Bagration
Korenizatsiya,61,2768,2754,2738,3536,5354,10619,Korenizatsiya
Intermediate-Range Nuclear Forces Treaty,61,16929,19321,19408,22159,14744,28521,Intermediate-Range Nuclear Forces Treaty
Bandy,61,20409,20174,17208,18918,28820,56437,Bandy
Republic of Tatarstan,61,34456,31317,31827,32002,49122,78888,Republic of Tatarstan
Sergei Rachmaninoff,61,48456,43272,45492,46389,54222,53132,Sergei Rachmaninoff
Ukrainophiles,60,400,365,521,547,1019,2551,Ukrainophiles
Eastern Ukraine,60,2501,2347,2470,2716,15536,80461,Eastern Ukraine
Nikolai Gogol,60,26496,24089,29463,27603,30655,42217,Nikolai Gogol
Polish Jews,60,23673,23177,25343,23299,24175,24836,Polish Jews
Treaty on Conventional Armed Forces in Europe,60,3345,3362,2599,2890,5097,10046,Treaty on Conventional Armed Forces in Europe
Boris Pasternak,60,18819,17780,26776,32967,25808,24990,Boris Pasternak
Teutonic Knights,60,17088,17843,15729,12702,11574,13922,Teutonic Knights
Art Nouveau,60,64531,68284,74616,76679,67652,65324,Art Nouveau
Edward Snowden,60,261243,290963,537515,819177,217714,230088,Edward Snowden
Russian gay propaganda law,60,5703,6224,7065,9578,7384,16245,Russian gay propaganda law
History of the Ukrainians in Baltimore,59,374,302,233,251,147,231,History of the Ukrainians in Baltimore
Serfdom in Russia,59,11445,12147,11557,19551,22783,22170,Serfdom in Russia
Sochi,59,22127,31976,29907,27506,31663,72128,Sochi
Partition Sejm,59,411,445,463,561,579,641,Partition Sejm
Time of Troubles,59,10720,12955,13494,15551,22302,33321,Time of Troubles
COVID-19 pandemic in Russia,59,0,0,0,0,23777,28620,COVID-19 pandemic in Russia
Neo-Nazis,58,939,563,927,919,1919,2214,Neo-Nazis
United Aircraft Corporation,58,12930,12254,11190,13136,15825,29198,United Aircraft Corporation
Bank of Russia,58,634,512,536,621,713,2628,Bank of Russia
Russian Central Bank,58,66,78,81,68,107,486,Russian Central Bank
White movement,58,28742,26723,28572,32313,32230,41364,White movement
Nihilist movement,58,2387,2268,1877,2050,1161,1203,Nihilist movement
House of Hohenzollern,58,34146,38332,30841,33806,47272,48905,House of Hohenzollern
Alexander Herzen,58,3620,3309,3852,4552,5032,5069,Alexander Herzen
Congress of Berlin,58,10067,10309,7888,8979,9628,10611,Congress of Berlin
Alexander Kolchak,58,12665,11971,11106,14049,16155,17574,Alexander Kolchak
Ukrainian cooperative movement,57,263,233,340,365,231,297,Ukrainian cooperative movement
Holodomor genocide question,57,6721,5949,6020,7812,10895,23784,Holodomor genocide question
Ukrselena,57,2028,1761,2040,2294,3442,6120,Ukrselena
Ruthenians,57,10839,8508,7984,8653,14834,32486,Ruthenians
Kresy,57,5112,4881,6169,5616,7126,9796,Kresy
Disinformation,57,9948,8298,11563,16405,15726,18612,Disinformation
"Constitution of May 3, 1791",57,6345,16025,4196,4033,4483,4837,"Constitution of May 3, 1791"
Allied and Associated Powers,57,77686,71213,53915,62280,69496,96898,Allied and Associated Powers
Congress Poland,57,13064,16365,14130,16059,22521,25389,Congress Poland
National Academy of Sciences of Ukraine,56,1267,1435,1204,1653,1255,2692,National Academy of Sciences of Ukraine
2008â09 Ukrainian financial crisis,56,415,442,946,1011,1307,3967,2008â09 Ukrainian financial crisis
Education in Ukraine,56,4080,4531,3286,3808,3300,6655,Education in Ukraine
Ukrainian architecture,56,1106,1258,937,1127,1349,3490,Ukrainian architecture
2014 Donbas status referendums,56,0,0,0,0,3550,49861,2014 Donbas status referendums
Nikolay Kostomarov,56,495,390,359,434,623,860,Nikolay Kostomarov
Belarusian language,56,20320,20003,18965,19204,32066,92455,Belarusian language
Alexander III of Russia,56,47912,52282,59250,94735,93207,122125,Alexander III of Russia
Mikhail Saltykov-Shchedrin,56,1218,1159,1320,1442,2259,2059,Mikhail Saltykov-Shchedrin
Mongols,56,45394,43456,40137,41766,49062,52794,Mongols
Human rights in Ukraine,55,1015,1226,1112,1529,2031,15961,Human rights in Ukraine
Oleh Tsarov,55,109,110,148,132,112,251,Oleh Tsarov
Donald Trump,55,1413128,1269714,5410531,3957982,14089045,11135463,Donald Trump
Fancy Bear,55,8965,15794,12190,14974,9678,13032,Fancy Bear
Sea of Azov,55,11976,13650,11387,11836,28776,109615,Sea of Azov
Wilno,55,47747,47111,49275,46430,52132,60600,Wilno
October Revolution,55,52949,60918,51842,71180,63777,89287,October Revolution
Terrorism in Russia,55,7049,6465,6082,6990,4789,8131,Terrorism in Russia
Battle of Poltava (1708),55,11787,12248,10803,12189,18026,26658,Battle of Poltava (1708)
Putinism,55,3829,2843,5968,7726,8371,31381,Putinism
Grigory Potemkin,55,9281,9097,25155,242949,31810,32964,Grigory Potemkin
Battle of Narva (1700),55,4374,4315,3804,4338,6004,6202,Battle of Narva (1700)
Judicial system of Ukraine,54,339,418,409,536,410,554,Judicial system of Ukraine
People's Movement of Ukraine,54,1677,1240,1330,1511,2833,7898,People's Movement of Ukraine
Leonid Kravchuk,54,2977,2743,4538,3878,11640,77998,Leonid Kravchuk
Romanization of Ukrainian,54,2035,2392,2770,3166,4845,17853,Romanization of Ukrainian
Luhansk Oblast,54,4145,5090,3921,4453,14492,106894,Luhansk Oblast
Novorossiya,54,7203,7971,5779,9448,18806,54857,Novorossiya
Eastern Orthodox Culture,54,144873,109015,104028,111312,139343,165835,Eastern Orthodox Culture
Slavophilia,54,2041,1964,1673,1953,2757,3339,Slavophilia
Communist Party of the Russian Federation,54,21952,20746,30442,25659,40790,101880,Communist Party of the Russian Federation
People's Freedom Party (Russia),54,0,0,0,0,0,0,People's Freedom Party (Russia)
PFC CSKA Moscow,54,63182,27996,27144,24906,22895,28922,PFC CSKA Moscow
Konstantin Balmont,54,878,866,931,898,1141,1180,Konstantin Balmont
Masuria,54,4799,5333,3906,3874,3977,4125,Masuria
Siberia,54,87568,86372,77038,84720,114488,148702,Siberia
Mikhail Vrubel,54,3136,3005,2562,2739,4815,4735,Mikhail Vrubel
Russian government response to the COVID-19 pandemic,54,0,0,0,0,1633,2108,Russian government response to the COVID-19 pandemic
Treaty of Gulistan,54,2293,2538,2304,2562,3328,4237,Treaty of Gulistan
Ukrainian government,53,4548,4760,7153,6127,10070,66731,Ukrainian government
Socialist Party of Ukraine,53,985,961,1071,1023,2499,8893,Socialist Party of Ukraine
Volodymyr Kubiyovych,53,261,277,319,294,265,398,Volodymyr Kubiyovych
Reichskommissariat Ukraine,53,5843,5931,5763,5983,14708,51344,Reichskommissariat Ukraine
Ruthenia,53,10723,9204,9352,9969,16070,36967,Ruthenia
Romanians in Ukraine,53,636,614,721,830,1556,6267,Romanians in Ukraine
Zaporizhzhia,53,115,166,277,176,12284,63488,Zaporizhzhia
Soviet occupation of Bessarabia and Northern Bukovina,53,5044,6112,5740,5473,10502,18490,Soviet occupation of Bessarabia and Northern Bukovina
Viktor Chernomyrdin,53,3857,2889,3117,3281,6136,13917,Viktor Chernomyrdin
Kyrgyzstan,53,117241,116273,128896,134522,206105,197421,Kyrgyzstan
Boxer Rebellion,53,74610,81785,61662,72625,89237,84146,Boxer Rebellion
Finland,53,217599,223704,223088,226850,275990,430850,Finland
Wilhelm II,53,11941,12022,12444,12717,11109,11385,Wilhelm II
Treaty of Georgievsk,53,914,1080,940,1161,1102,1468,Treaty of Georgievsk
Ukrainian Sich Riflemen,52,594,592,617,684,1291,2959,Ukrainian Sich Riflemen
Mykola Azarov,52,1484,1274,3552,2617,4978,15248,Mykola Azarov
Soviet famine of 1946â1947,52,3397,3207,2822,3369,5081,6362,Soviet famine of 1946â1947
Church Slavonic language,52,8407,6612,7223,7700,10863,12866,Church Slavonic language
Persecution of Christians in the Soviet Union,52,6602,6044,7371,7399,7960,9336,Persecution of Christians in the Soviet Union
Anna Politkovskaya,52,15071,11343,13034,23946,28655,69682,Anna Politkovskaya
Ludwig Wittgenstein,52,59567,52112,49702,55692,71145,61068,Ludwig Wittgenstein
Russo-Kazan wars,52,62,76,70,70,80,109,Russo-Kazan wars
Lev Russov,52,389,412,252,378,367,287,Lev Russov
Prime Minister of Russia,52,16435,17106,14489,14923,19758,103036,Prime Minister of Russia
Lviv pogroms,51,7789,9459,2569,2564,2443,3126,Lviv pogroms
Lublin Triangle,51,0,0,0,0,7208,20033,Lublin Triangle
Transnistria War,51,6266,5979,6969,8014,20208,75725,Transnistria War
Tadeusz KoÅciuszko,51,16174,17314,17468,18314,16610,18767,Tadeusz KoÅciuszko
Second Northern War,51,5046,5270,4901,5275,7466,7512,Second Northern War
Russian ballet,51,6822,5921,5455,6986,5264,5641,Russian ballet
Andriy Shevchenko,50,50810,74203,48784,64338,74634,99288,Andriy Shevchenko
Football Federation of Ukraine,50,1575,2177,857,728,557,895,Football Federation of Ukraine
Ukrainian Association of Football,50,0,0,1511,1546,2884,5059,Ukrainian Association of Football
Bloc Yulia Tymoshenko,50,1383,1047,1400,1163,2589,10221,Bloc Yulia Tymoshenko
"Ukrainian Village, Chicago",50,2585,2714,2266,2420,2271,9488,"Ukrainian Village, Chicago"
Muscovite-Ukrainian War (1658â1659),50,0,0,0,0,0,0,Muscovite-Ukrainian War (1658â1659)
Ukrainian State,50,3991,4182,3996,4346,10988,39255,Ukrainian State
Lisbon Protocol,50,597,705,424,558,976,3759,Lisbon Protocol
The Ruin (Ukrainian history),50,981,910,808,948,2221,5969,The Ruin (Ukrainian history)
Russian imperialism,50,4024,3580,4929,5978,13917,62433,Russian imperialism
FC Zenit Saint Petersburg,50,30507,41344,47840,38928,31795,52700,FC Zenit Saint Petersburg
Dushanbe,50,15003,14740,15829,17417,23385,18070,Dushanbe
Mikhail Bakunin,50,18792,21917,19288,22466,23461,22650,Mikhail Bakunin
Natural gas in Russia,49,1457,1234,1434,1814,3329,8406,Natural gas in Russia
2014 Winter Paralympics,49,1871,2094,1139,1438,2169,7023,2014 Winter Paralympics
Danubian Sich,49,654,700,702,768,2019,4615,Danubian Sich
"Minsk, Belarus",49,38589,41328,44388,44905,52713,150238,"Minsk, Belarus"
Russian passport,49,9320,8653,8893,9546,8841,12868,Russian passport
Russia-1,49,3126,3133,2724,3938,4853,13542,Russia-1
Sakhalin,49,27975,27665,27295,27324,41844,45707,Sakhalin
Vladimir Nabokov,49,47377,43181,41128,40213,60356,49441,Vladimir Nabokov
Tsarist autocracy,49,7720,7501,6168,6447,8488,14244,Tsarist autocracy
Winter Palace,49,22456,25650,26291,34285,48650,38253,Winter Palace
Russo-Turkish War (1806?1812),49,2530,2532,2517,3211,3933,4624,Russo-Turkish War (1806?1812)
Russo-Turkish War (1806â12),49,985,1169,680,661,608,722,Russo-Turkish War (1806â12)
Manchukuo,49,36128,33144,32247,37198,50155,48000,Manchukuo
Solidarity (Ukraine),48,1683,1627,7302,5139,18238,79609,Solidarity (Ukraine)
Borys Kolesnykov,48,30,38,42,30,41,104,Borys Kolesnykov
Epiphanius I of Ukraine,48,0,0,1216,2127,2473,7067,Epiphanius I of Ukraine
George Shevelov,48,277,275,230,330,523,698,George Shevelov
Southern Ukraine,48,892,940,1051,1039,4922,17006,Southern Ukraine
John Mearsheimer,48,8759,7368,8808,10188,36788,137957,John Mearsheimer
Koryo-saram,48,9092,8431,11722,9139,18868,49433,Koryo-saram
Russian Far East,48,19415,18556,28963,21246,32433,47688,Russian Far East
Turkmenistan,48,88653,94550,120931,124832,213393,143874,Turkmenistan
Latvia,48,155727,155992,143030,147529,166634,318921,Latvia
Bashkortostan,48,12998,12146,14512,17705,25916,34839,Bashkortostan
ElblÄg,48,3743,4103,3829,3810,4234,4435,ElblÄg
February Revolution,48,27571,27741,29092,32517,39719,66801,February Revolution
Leninism,48,28150,26965,24035,26103,27428,37168,Leninism
Wilt Chamberlain,48,205391,229551,102726,129004,215956,226122,Wilt Chamberlain
Russian constitution,48,6439,6709,5844,6657,7133,18613,Russian constitution
Federal subjects of Russia,48,28482,26791,30120,28547,48877,91806,Federal subjects of Russia
OSCE,47,18890,18858,16049,20795,38222,101349,OSCE
Yat,47,2623,2500,2878,3487,4517,5591,Yat
Mejlis of the Crimean Tatar People,47,1597,2014,969,1174,2469,7388,Mejlis of the Crimean Tatar People
Old East Slavic language,47,5066,4731,5272,6193,8992,18189,Old East Slavic language
Don Cossacks,47,7051,7146,6203,7866,12544,35962,Don Cossacks
Russian oligarch,47,67045,72212,23640,25210,38198,625644,Russian oligarch
Coat of arms of Russia,47,10547,10219,8740,9675,13291,23166,Coat of arms of Russia
Mikhail Kutuzov,47,8604,8618,8788,9851,12202,12360,Mikhail Kutuzov
Trans-Siberian Railway,47,36695,35372,35375,37108,48642,47934,Trans-Siberian Railway
Chechen Republic of Ichkeria,47,15252,13680,15423,14932,31325,135295,Chechen Republic of Ichkeria
Caucasian War,47,5265,5266,5728,5076,7249,10834,Caucasian War
Princess Victoria Melita of Saxe-Coburg and Gotha,47,9217,12308,8974,10784,13069,12193,Princess Victoria Melita of Saxe-Coburg and Gotha
Anna of Russia,47,13089,13332,14191,27138,34224,32827,Anna of Russia
Ukrainian Democratic Alliance for Reform,46,1895,1673,1717,1876,6842,35514,Ukrainian Democratic Alliance for Reform
Zhytomyr,46,4726,4894,4942,5399,7197,31509,Zhytomyr
Treaty of the Pruth,46,470,495,474,587,892,1025,Treaty of the Pruth
Russian famine of 1921?1922,46,0,0,150,168,73369,15380,Russian famine of 1921?1922
Anti-Communist,46,965,1046,945,1112,621,532,Anti-Communist
Anti-communism,46,26171,25716,27455,29151,28899,31661,Anti-communism
Gennady Zyuganov,46,8028,7146,7423,6663,12841,35193,Gennady Zyuganov
Russian famine of 1921â1922,46,11088,10115,8987,10588,78921,23773,Russian famine of 1921â1922
Marc Chagall,46,44575,39418,48258,35090,29450,28975,Marc Chagall
Russian River (California),46,6817,7106,5182,5511,4304,4403,Russian River (California)
Duchy of Warsaw,46,8515,8674,7605,8860,13257,12856,Duchy of Warsaw
Russian Revival,46,819,677,613,657,589,628,Russian Revival
Grand Duchy of Posen,46,2446,2404,2340,2499,3397,3381,Grand Duchy of Posen
Russian Dalian,46,975,1045,1086,1278,1879,2217,Russian Dalian
Maxim Litvinov,46,4190,4106,4854,5287,6717,7004,Maxim Litvinov
Russia Day,46,3304,5024,2205,2495,2407,3304,Russia Day
First Afghan War,46,277,220,374,246,363,351,First Afghan War
Ivan Krypiakevych,45,96,106,96,95,114,152,Ivan Krypiakevych
Opposition Bloc,45,4712,4401,1830,1725,4703,16974,Opposition Bloc
Pierogi,45,44099,48268,45809,53437,61786,74613,Pierogi
Soviet partisans,45,6593,6910,7024,6359,7950,10142,Soviet partisans
Battle of Chernobyl,45,0,0,0,0,0,243816,Battle of Chernobyl
Battle of Berlin,45,65188,64334,43447,47664,77251,78296,Battle of Berlin
Aeroflot,45,44541,42759,38105,41749,36405,101573,Aeroflot
Europe,45,362296,371976,292444,285009,454789,602545,Europe
Russian Academy of Science,45,8204,7534,7828,8657,7941,8832,Russian Academy of Science
Russian Federal Space Agency,45,16375,13535,42675,31423,23594,27528,Russian Federal Space Agency
Primorsky Krai,45,13252,12236,12104,13916,18099,20755,Primorsky Krai
Alexander Prokhanov,45,749,738,751,1113,1091,3840,Alexander Prokhanov
Rossiya Bank,45,1916,1483,1113,1085,2138,18310,Rossiya Bank
Languages of Russia,45,12349,12729,13428,13103,15077,27603,Languages of Russia
Apollon Maykov,45,392,460,430,422,586,534,Apollon Maykov
Union State,45,9799,8580,13201,19934,53079,118451,Union State
Ukrainian folk music,44,788,1007,992,1136,1140,2620,Ukrainian folk music
List of Ukrainian rulers,44,1867,1063,2115,2247,3728,10121,List of Ukrainian rulers
Central Rada,44,286,246,280,317,457,1238,Central Rada
Greeks in Ukraine,44,1806,1611,1332,1673,3605,29284,Greeks in Ukraine
Russo-Polish War (1654â1667),44,3311,3432,3095,3588,5233,9790,Russo-Polish War (1654â1667)
Peter III of Russia,44,30475,36867,42246,131282,225091,150992,Peter III of Russia
Arctic window,44,32,29,37,33,30,50,Arctic window
Health care in Russia,44,6211,5616,6159,7168,6811,7080,Health care in Russia
Red Square,44,28420,29531,24988,29732,28571,48936,Red Square
Higher education in Ukraine,43,1181,1465,959,1389,1079,1994,Higher education in Ukraine
Ivan Dorn,43,3542,2025,1964,2570,2928,3908,Ivan Dorn
Anti-Semitism,43,5121,4835,8697,5563,6386,6267,Anti-Semitism
Antisemitism,43,175736,119964,99040,111128,129671,121730,Antisemitism
Arseny Pavlov,43,545,596,466,460,2175,6213,Arseny Pavlov
Deportation of the Crimean Tatars,43,4169,18607,4300,5320,10444,29283,Deportation of the Crimean Tatars
Pro-Russian,43,5147,4241,5942,5583,11404,24405,Pro-Russian
Vodka,43,88516,91282,87509,85084,92940,96492,Vodka
World War II casualties of the Soviet Union,43,35831,35720,16718,16305,21349,47867,World War II casualties of the Soviet Union
Ashgabat,43,15041,15697,21881,22258,39254,22453,Ashgabat
History of Central Asia,43,4618,4437,4654,5019,7288,6544,History of Central Asia
Kalmykia,43,11738,13439,12056,13201,24106,29518,Kalmykia
2008 Russian presidential election,43,7,7,4297,4684,8553,41264,2008 Russian presidential election
